id,actor,textKor,textEng
1,red,뭉치의 눈에 우리의 뇌를 넣은 건 정말 잘한 일이야.,
1,red,뭉치가 기압차 때문에 터지지 않았다는 걸 알 수 있었다! 안심이 돼.,
1,edison,동의함.,
1,red,게다가 인간!!을 다시금 바라볼 수 있었어! 우리의 아름답고 멋진 인간들을 말이야.,
1,edison,역시 동의한다.,
1,sircello,~♫♮♭,
1,red,그러게. 뭉치가 한 명의 인간을 제외한 나머지 인간들에겐 보이지 않았어!,
1,edison,하지만 왜? 그러한 특성은 관찰되지 않았었는데?,
1,edison,인간의 눈? 뭉치의 성분? 혹은 그저 작고 까맣기 때문?,
1,sircello,♫♮ ♩♩♩♩!!,
1,red,어! 그렇네! 드리미네슘 때문일 수도 있겠네!,
1,edison,…… 가장 유력한 가설인 듯. 폐기물의 구성 성분을 조사해 보겠음.,
2,red,반지 소년은 그 꿈을 꾸고 일어나… 최악의 슬픈 아침을 보냈겠지.,
2,sircello,…….,
2,red,나를 잡아먹는 나의 공허. 그것을 견뎌야만 한다니.,
2,red,나의 잘못이 아님에도… 그 벌은 나의 것이어야만 한다니.,
2,edison,레드.,
2,edison,그것은 해답 없는 인간 세상의 난제. 우리는 채 이해 못 하는 인간들의 이야기.,
2,edison,그 자체로 아름다운 것이라 받아들이면 됨.,
2,red,싫어. 나의 마지막 인간 아이가 떠오른단 말이야. 그건 아름답지 않아.,
2,red,아름다운 인간이 왜 다른 아름다운 인간에게,
2,red,평생을 틀어 막고 살아도 메워지지 않는 추한 구멍을 남기는 거야?,
2,edison,…….,
2,sircello,…….,
2,red,아직도… 나의 인간을 괴롭히던 인간들의 표정이 생생하게 기억 나.,
2,red,그건 정말로 아름답지 않았어. 비겁하고 끔찍했어.,
2,red,사랑하는 인간들에게 이런 마음을 가지는 것이 죄스럽지만… 난. 나는….,
2,red,달리 어떻게 느껴야 할지 모르겠단 말이야….,
2,sircello,…….,
2,edison,…….,
3,red,수많은 얼굴들을 빙그르르 돌리던 하얀 모자 인간! 정말 황홀하고 아름다웠어!,
3,red,우리 안에도 하얀 모자 인간처럼 수많은 얼굴들이 살고 있을까?,
3,edison,우리는 그저 오물을 치우는 달 청소부들.,
3,edison,우리에게 다면성은 비효율적이고 시끄럽고 피로할 뿐.,
3,edison,‘얼굴’은 하나면 충분함.,
3,red,아니! 나는 다섯 개 가지고 싶다!,
3,sircello,♩♩♩♩♩♩♩ ~!,
3,red,첼로 경은 일곱 개 가지고 싶다는데!,
3,red,근데 왜 일곱 개지?,
3,red,"아, 도레미-파솔라시!",
3,sircello,♪~ ♩♭♫ !,
3,edison,… 그래.,
3,red,너는 몇 개?,
3,edison,나는 세 개.,
4,sircello,♮♭♫ ♮~ ♬,
4,red,"그러게… 우리를 보고 싶어 했을 줄은 몰랐어. 짜식, 감동인걸!",
4,edison,아무리 고민해도 뭉치가 우리를 다시 볼 수 있는 방법은 없다.,
4,edison,그러니 뭉치의 그리움은 길 없는 그리움.,
4,edison,…….,
4,sircello,♬♪~ ♩♩……,
4,edison,"우리는 그 무게를 잘 알지. 하지만, 그럼에도……",
4,edison,고마운 것 같음.,
4,red,맞아. 뭉치가 정말 이곳에서의 기억을 잊겠다고 선택했으면 마음이 찢어졌을 거야…….,
4,sircello,♪♪ ♫♭♩……?,
4,edison,"걱정 마라, 첼로. 뭉치에게 그런 능력이 있다는 건 관찰하지 못했다.",
4,edison,"뭉치의 강렬한 소망이었을 뿐, 기억을 정말 지우지는 못했을 것임.",
4,edison,…….,
4,edison,뭉치는 똑똑한 괴물 덩어리니까. 아마 그도 알고 있었을 테지.,
5,red,그동안 꿈을 만들며 많은 인간들의 밤을 책임지며 그들을 한 명 한 명 사랑해 왔지만……,
5,red,그들 모두가 죽었다는 게 마음이 아파.,
5,red,"만난 적은 없지만 사랑하는, 또 사랑할 모든 인간 역시 언젠가는 죽게 될 것이라는 것도.",
